time,durable_step,current_step,furthest_step,steps_at_risk,train_loss,tokens_b,nodes_training,nodes_lost,replacements,below_full_world,degraded_band,goodput,ms_per_step,ms_per_step_typical,whole_group_restarts,usd,usd_per_1k,supervisor_up
1786339471562,1478,1490,1490,12,4.038,0.732365,8,1,1,0,,0.0,2278,1765,0,7.9686,5.3481,1
1786339489231,1478,1500,1500,22,3.9954,0.73728,8,1,1,0,,0.0,1767,1757,0,8.0081,5.3387,1
1786339557263,1504,1510,1510,6,3.9861,0.742195,8,1,1,0,,0.0,6803,1765,0,8.1602,5.4041,1
1786339579087,1504,1520,1520,16,4.0012,0.74711,8,1,1,0,,0.0,2182,1765,0,8.209,5.4007,1
1786339596531,1504,1530,1530,26,3.9927,0.752026,8,1,1,0,,0.0,1744,1765,0,8.248,5.3908,1
1786339613899,1504,1540,1540,36,3.9937,0.756941,8,1,1,0,,0.0,1737,1757,0,8.2868,5.3811,1
1786339631334,1504,1550,1550,46,4.0024,0.761856,8,1,1,0,,0.0,1744,1755,0,8.3258,5.3715,1
1786339660812,1504,1560,1560,56,4.0102,0.766771,8,1,1,0,,0.0,2948,1757,0,8.3917,5.3793,1
1786339683522,1556,1570,1570,14,3.9746,0.771686,8,1,1,0,,0.0,2271,1765,0,8.4425,5.3774,1
1786339700943,1556,1580,1580,24,3.9633,0.776602,8,1,1,0,,0.0,1742,1765,0,8.4814,5.368,1
1786339718293,1556,1590,1590,34,3.9719,0.781517,8,1,1,0,,0.0,1735,1757,0,8.5202,5.3586,1
1786339735627,1556,1600,1600,44,3.9664,0.786432,8,1,1,0,,0.0,1733,1757,0,8.559,5.3493,1
1786339765145,1556,1610,1610,54,3.9517,0.791347,8,1,1,0,,0.0,2952,1757,0,8.6249,5.3571,1
1786339787407,1607,1620,1620,13,3.9616,0.796262,8,1,1,0,,0.0,2226,1759,0,8.6747,5.3548,1
1786339804982,1607,1630,1630,23,3.9512,0.801178,8,1,1,0,,0.0,1757,1764,0,8.714,5.346,1
1786339822385,1607,1640,1640,33,3.9427,0.806093,8,1,1,0,,0.0,1740,1759,0,8.7529,5.3371,1
1786339839724,1607,1650,1650,43,3.9433,0.811008,8,1,1,0,,0.0,1734,1757,0,8.7917,5.3283,1
1786339868561,1607,1660,1660,53,3.9017,0.815923,8,1,1,0,,0.0,2884,1757,0,8.8561,5.335,1
1786339891092,1658,1670,1670,12,3.958,0.820838,8,1,1,0,,0.0,2253,1757,0,8.9065,5.3332,1
1786339908640,1658,1680,1680,22,3.8932,0.825754,8,1,1,0,,0.0,1755,1755,0,8.9457,5.3248,1
1786339926030,1658,1690,1690,32,3.9332,0.830669,8,1,1,0,,0.0,1739,1755,0,8.9846,5.3163,1
1786339943447,1658,1700,1700,42,3.9136,0.835584,8,1,1,0,,0.0,1742,1755,0,9.0235,5.308,1
1786339971516,1658,1710,1710,52,3.8718,0.840499,8,1,1,0,,0.0,2807,1757,0,9.0863,5.3136,1
1786339994560,1709,1720,1720,11,3.8659,0.845414,8,1,1,0,,0.0,2304,1755,0,9.1378,5.3127,1
1786340012103,1709,1730,1730,21,3.9018,0.85033,8,1,1,0,,0.0,1754,1754,0,9.177,5.3046,1
1786340029535,1709,1740,1740,31,3.9036,0.855245,8,1,1,0,,0.0,1743,1754,0,9.216,5.2966,1
1786340047130,1709,1750,1750,41,3.8691,0.86016,8,1,1,0,,0.0,1759,1754,0,9.2553,5.2888,1
1786340064940,1709,1760,1760,51,3.8741,0.865075,8,1,1,0,,0.0,1781,1755,0,9.2952,5.2813,1
1786340098692,1760,1770,1770,10,3.872,0.86999,8,1,1,0,,0.0,3375,1755,0,9.3706,5.2941,1
1786340116331,1760,1780,1780,20,3.8499,0.874906,8,1,1,0,,0.0,1764,1754,0,9.41,5.2865,1
1786340133728,1760,1790,1790,30,3.8689,0.879821,8,1,1,0,,0.0,1740,1750,0,9.4489,5.2787,1
1786340151126,1760,1800,1800,40,3.8305,0.884736,8,1,1,0,,0.0,1740,1750,0,9.4878,5.271,1
1786340217908,1800,1810,1810,10,3.8667,0.889651,8,1,1,0,,0.0,6678,1754,0,9.6371,5.3244,1
1786340235532,1800,1820,1820,20,3.894,0.894566,8,1,1,0,,0.0,1762,1750,0,9.6765,5.3168,1
1786340252943,1800,1830,1830,30,3.8636,0.899482,8,1,1,0,,0.0,1741,1747,0,9.7154,5.309,1
1786340270378,1800,1840,1840,40,3.8517,0.904397,8,1,1,0,,0.0,1744,1744,0,9.7544,5.3013,1
1786340287820,1800,1850,1850,50,3.8165,0.909312,8,1,1,0,,0.0,1744,1744,0,9.7934,5.2937,1
1786340322098,1851,1860,1860,9,3.8256,0.914227,8,1,1,0,,0.0,3428,1747,0,9.87,5.3065,1
1786340339603,1851,1870,1870,19,3.8437,0.919142,8,1,1,0,,0.0,1750,1747,0,9.9092,5.299,1
1786340357016,1851,1880,1880,29,3.8269,0.924058,8,1,1,0,,0.0,1741,1744,0,9.9481,5.2915,1
1786340374452,1851,1890,1890,39,3.8332,0.928973,8,1,1,0,,0.0,1744,1744,0,9.9871,5.2842,1
1786340391923,1851,1900,1900,49,3.8128,0.933888,8,1,1,0,,0.0,1747,1744,0,10.0261,5.2769,1
1786340426249,1902,1910,1910,8,3.8096,0.938803,8,1,1,0,,0.0,3433,1744,0,10.1029,5.2895,1
1786340443863,1902,1920,1920,18,3.822,0.943718,8,1,1,0,,0.0,1761,1744,0,10.1423,5.2824,1
1786340461268,1902,1930,1930,28,3.8178,0.948634,8,1,1,0,,0.0,1740,1744,0,10.1812,5.2752,1
1786340478639,1902,1940,1940,38,3.8101,0.953549,8,1,1,0,,0.0,1737,1744,0,10.22,5.268,1
1786340495974,1902,1950,1950,48,3.8191,0.958464,8,1,1,0,,0.0,1734,1744,0,10.2588,5.2609,1
